display_name,official_iau_name,simbad_main_id,gaia_dr3_source_id,hip_id,hd_id,bayer_designation,flamsteed_designation,all_identifiers,ra_deg,dec_deg,parallax_mas,parallax_error_mas,parallax_over_error,proper_motion_ra_mas_yr,proper_motion_dec_mas_yr,radial_velocity_km_s,distance_pc,distance_ly,x_ly,y_ly,z_ly,r_ly,phi_deg,theta_deg,apparent_magnitude,spectral_type,stellar_category,astrometry_source,distance_quality_flag,selection_reason,fame_score,notes
Sirius,Sirius,* alf CMa,,32349,48915,,,*   9 CMa | * alf CMa | * alf CMa A | ** AGC    1A | 2MASS J06450887-1642566 | 8pc 379.21A | ADS  5423 A | AKARI-FIS-V1 J0645085-164258 | BD-16  1591 | BD-16  1591A | CCDM J06451-1643A | CEL   1368 | Ci 20  396 | CNS5 1676 | CSI-16  1591  1 | FK5  257 | GAT  474 | GC  8833 | GCRV  4392 | GEN# +1.00048915A | GJ 244 A | HD  48915 | HD  48915A | HGAM    556 | HIC  32349 | HIP 32349 | HR  2491 | IDS 06408-1635 A | IRAS 06429-1639 | IRAS S06429-1639 | IRAS S06430-1639 | IRC -20105 | JP11  1425 | LFT  486 | LHS   219 | LPM 243 | LTT  2638 | N30 1470 | NAME Sirius | NAME Sirius A | NLTT 16953 | NSV 17173 | PLX 1577 | PM 06430-1639A | PMC 90-93   186 | PPM 217626 | RAFGL 1007 | Renson 13090 | ROT  1088 | SAO 151881 | SBC7   288 | SBC9 416 | SKY# 11855 | TD1  8027 | TIC 322899250 | TYC 5949-2777-1 | UBV    6709 | UBV M  12413 | USNO 816 | uvby98 100048915 A | WDS J06451-1643A | WEB  6525 | Zkh  91,101.28715533,-16.71611586,379.21,1.58,240.006,-546.01,-1223.07,-5.5,2.637061,8.600943,-1.612292,8.078157,-2.473889,8.600943,101.28715533,106.71611586,-1.46,A0mA1Va,other_main_sequence,SIMBAD,reliable_simbad_parallax,bright_v<4 | curated_famous | nearby_<=50ly | official_iau_name | simbad_named_star,205,
Rigil Kentaurus,Rigil Kentaurus,* alf Cen A,,71683,128620,,,* alf Cen A | * alf01 Cen | ** RHD    1A | 2MASS J14393592-6050069 | CCDM J14396-6050A | CD-60  5293A | CNS5 3627 | CPD-60  5483A | CSI-60  5483 41 | GALAH 140708001701306 | GCRV  8517 | GEN# +1.00128620A | GJ 559 A | HD 128620 | HIC  71683 | HIP 71683 | HR  5459 | IDS 14328-6025 A | LFT 1127 | LHS    50 | LTT  5806 | NAME Rigel Kentaurus | NAME Rigil Kentaurus | NLTT 37984 | PLX 3309 | PM 14362-6038A | PMSC 14328-6025A | PPM 360911 | SKY# 26645 | SPOCS  610 | TD1 17606 | TIC 471011145 | TYC 9007-5849-1 | WDS J14396-6050A | WEB 12354 | Zkh 209,219.90205833,-60.83399269,742.12,1.4,530.086,-3679.25,473.67,-15.252,1.347491,4.394928,-1.643089,-1.373936,-3.837701,4.394928,219.90205833,150.83399269,0.01,G2V,yellow_dwarf,SIMBAD,reliable_simbad_parallax,bright_v<4 | nearby_<=50ly | official_iau_name | simbad_named_star,180,
Procyon,Procyon,* alf CMi,,37279,61421,,,*  10 CMi | * alf CMi | * alf CMi A | ** SHB    1A | 1AXG J073918+0514 | 1C 12.01 | 1ES 0736+05.3 | 1RXS J073918.3+051332 | 2E  1849 | 2E 0736.6+0520 | 2EUVE J0739+05.2 | 2MASS J07391805+0513298 | 2RE J0739+051 | 2RE J073918+051351 | 8pc 285.93A | [HFE83]  530 | [TSA98] J073919.85+051356.36 | AG+05 1072 | AKARI-FIS-V1 J0739178+051322 | AP J07391805+0513298 | ASCC 1030621 | BD+05  1739 | CCDM J07393+0514A | Ci 20  432 | CNS5 1895 | CSI+05  1739  1 | CSI+05  1739  5 | CSV 100884 | EUVE J0739+05.2 | FAUST 1387 | FK5  291 | GALAH 141101003801339 | GC 10277 | GCRV  5099 | GEN# +1.00061421 | GES J07391749+0513163 | GJ 280 | GJ 280 A | GJ 280.0 | HD  61421 | HIC  37279 | HIP 37279 | HR  2943 | IDS 07341+0529 A | IRAS 07366+0520 | IRC +10170 | JP11  1576 | LFT  541 | LHS   233 | LSPM J0739+0513 | LTT 12053 | N30 1726 | NAME Procyon | NAME Procyon A | NLTT 18229 | NSV  3672 | PLX 1805 | PM 07367+0521 | PMC 90-93   212 | PPM 153068 | RAFGL 1161 | RE J0739+051 | RE J073917+051339 | ROT  1234 | RX J0739.3+0513 | SAO 115756 | SBC7   317 | SBC9 467 | SKY# 14100 | SPOCS  352 | SV* ZI   646 | TD1 10647 | TIC 280310048 | TIC 471011543 | TYC  187-2184-1 | UBV    7352 | USNO 825 | USNO-B1.0 0952-00146563 | uvby98 100061421 | WDS J07393+0514A | WEB  7381 | Zkh 106,114.82549791,5.22498756,284.56,1.26,225.841,-714.59,-1036.8,-4.5053,3.514197,11.461779,-4.792301,10.359379,1.043789,11.461779,114.82549791,84.77501244,0.37,F5IV-V+DQZ,giant_or_supergiant,SIMBAD,reliable_simbad_parallax,bright_v<4 | nearby_<=50ly | official_iau_name | simbad_named_star,180,
Altair,Altair,* alf Aql,,97649,187642,,,*  53 Aql | * alf Aql | 1ES 1948+08.7 | 1RXS J195047.0+085159 | 2E  4294 | 2E 1948.3+0844 | 2MASS J19504698+0852060 | 2XMMi J195047.1+085208 | 8pc 194.44 | ADS 13009 A | AG+08 2636 | AKARI-FIS-V1 J1950472+085209 | ASCC 1075038 | BD+08  4236 | CCDM J19508+0852A | Ci 20 1169 | CNS5 4912 | CSI+08  4236  1 | FK5  745 | GAT  549 | GC 27470 | GCRV 12193 | GEN# +1.00187642 | GJ 768 | GSC 01058-03399 | HD 187642 | HIC  97649 | HIP 97649 | HR  7557 | IDS 19459+0836 A | IRAS 19483+0844 | IRC +10441 | JP11  3142 | LFT 1499 | LHS  3490 | LSPM J1950+0852 | LTT 15795 | N30 4388 | NAME Altair | NLTT 48314 | NSV 24910 | PLX 4665 | PLX 4665.00 | PM 19484+0844 | PMC 90-93   530 | PPM 168779 | RAFGL 2463 | ROT  2857 | SAO 125122 | SKY# 37134 | TD1 25537 | TIC 70257116 | TYC 1058-3399-1 | UBV   16885 | UBV M  24205 | USNO 891 | USNO-B1.0 0988-00511792 | uvby98 100187642 | V* alf Aql | WDS J19508+0852A | WEB 17173 | Zkh 297,297.6958273,8.8683212,194.95,0.57,342.018,536.23,385.29,-26.6,5.12952,16.730258,7.68289,-14.636339,2.579205,16.730258,297.6958273,81.1316788,0.76,A7Vn,other_main_sequence,SIMBAD,reliable_simbad_parallax,bright_v<4 | nearby_<=50ly | official_iau_name | simbad_named_star,180,
Toliman,Toliman,* alf Cen B,,71681,128621,,,* alf Cen B | * alf02 Cen | ** RHD    1B | [AOP94]  7 | CCDM J14396-6050B | CD-60  5293B | CPD-60  5483B | CSI-60  5483 42 | GCRV  8518 | GEN# +1.00128621 | GJ 559 B | HD 128621 | HIC  71681 | HIP 71681 | HR  5460 | IDS 14328-6025 B | LFT 1128 | LHS    51 | LTT  5807 | NAME Toliman | NLTT 37985 | PM 14362-6038B | PMSC 14328-6025B | RAVE J143935.1-605014 | SKY# 26644 | SPOCS  609 | TIC 471011144 | TYC 9007-5848-1 | WDS J14396-6050B | Zkh 210,219.89609629,-60.83752757,742.12,1.4,530.086,-3614.39,802.98,-22.586,1.347491,4.394928,-1.64305,-1.373613,-3.837833,4.394928,219.89609629,150.83752757,1.33,K1V,other_main_sequence,SIMBAD,reliable_simbad_parallax,bright_v<4 | nearby_<=50ly | official_iau_name | simbad_named_star,180,
Arcturus,Arcturus,* alf Boo,,69673,124897,,,*  16 Boo | * alf Boo | ** HDS 2003A | 2MASS J14153968+1910558 | [HFE83] 1018 | AAVSO 1411+19 | AG+19 1335 | AP J14153968+1910558 | ASCC  870215 | BD+19  2777 | CCDM J14157+1911A | Ci 20  843 | CNS5 3517 | CSV 101433 | FK5  526 | GALAH 150210005801171 | GAT 1341 | GC 19242 | GCRV  8341 | GEN# +1.00124897 | GJ 541 | HD 124897 | HIC  69673 | HIP 69673 | HR  5340 | IRAS 14133+1925 | IRC +20270 | JP11  2486 | LFT 1084 | LHS    48 | LSPM J1415+1910 | LTT 14184 | N30 3229 | NAME Arcturus | NLTT 36756 | NSV  6603 | PLX 3242 | PLX 3242.00 | PM 14134+1927 | PM 14134-1927 | PMC 90-93   376 | PPM 130442 | RAFGL 1693 | ROT  2044 | SAO 100944 | SKY# 26028 | SRS  30526 | SV* ZI  1054 | TD1 17351 | TIC 459832522 | TYC 1472-1436-1 | UBV   12551 | UBV M  20076 | USNO 850 | USNO-B1.0 1091-00221874 | uvby98 100124897 | WDS J14157+1911A | WEB 12132 | YPAC  52,213.91530029,19.18240916,88.83,0.54,164.5,-1093.39,-2000.06,-5.229,11.257458,36.716917,-28.778245,-19.349335,12.064323,36.716917,213.91530029,70.81759084,-0.05,K1.5IIIFe-0.5,giant_or_supergiant,SIMBAD,reliable_simbad_parallax,bright_v<4 | curated_famous | nearby_<=50ly | official_iau_name | simbad_named_star,175,
Vega,Vega,* alf Lyr,,91262,172167,,,*   3 Lyr | * alf Lyr | 1E 183515+3844.3 | 2MASS J18365633+3847012 | 8pc 128.93 | [HFE83] 1223 | ADS 11510 A | AG+38 1711 | AKARI-IRC-V1 J1836564+384703 | ASCC  507896 | BD+38  3238 | CCDM J18369+3847A | CEL   4636 | CNS5 4607 | CSI+38  3238  1 | CSV 101745 | EQ 183456.7+384615.4 | EUVE J1836+38.7 | FK5  699 | GAT 1285 | GC 25466 | GCRV 11085 | GEN# +1.00172167 | GJ 721 | GJ 721.0 | HD 172167 | HGAM    706 | HIC  91262 | HIP 91262 | HR  7001 | IDS 18336+3841 A | IRAS 18352+3844 | IRAS F18352+3844 | IRC +40322 | JCMTSE J183656.4+384709 | JCMTSF J183656.4+384709 | JP11  2999 | LSPM J1836+3847 | LTT 15486 | N30 4138 | NAME Vega | NLTT 46746 | NSV 11128 | PLX 4293 | PLX 4293.00 | PMC 90-93   496 | PPM  81558 | RAFGL 2208 | ROT  2633 | SAO  67174 | SKY# 34103 | TD1 22883 | TIC 157587146 | TYC 3105-2070-1 | UBV   15842 | UBV M  23118 | USNO 882 | USNO-B1.0 1287-00305764 | uvby98 100172167 | V* alf Lyr | WDS J18369+3846A | WEB 15681 | WISE J183656.49+384703.9 | Zkh 277,279.23473479,38.78368896,130.23,0.36,361.75,200.94,286.23,-13.5,7.678722,25.044642,3.132996,-19.269677,15.687511,25.044642,279.23473479,51.21631104,0.03,A0V,other_main_sequence,SIMBAD,reliable_simbad_parallax,bright_v<4 | curated_famous | nearby_<=50ly | official_iau_name | simbad_named_star,175,
Betelgeuse,Betelgeuse,* alf Ori,,27989,39801,,,"*  58 Ori | * alf Ori | ** H  639A | ** KAR    1 | 2MASS J05551028+0724255 | [LFO93] 0552+07 | AAVSO 0549+07 | ADS  4506 AP | AG+07  681 | BD+07  1055 | CCDM J05552+0724AP | CSI+07  1055  1 | EIC   108 | FK5  224 | GC  7451 | GCRV  3679 | GEN# +1.00039801 | GSC 00129-01873 | HD  39801 | HIC  27989 | HIP 27989 | HR  2061 | IRAS 05524+0723 | IRC +10100 | JCMTSE J055510.1+072426 | JCMTSF J055510.1+072426 | JP11  1282 | N30 1266 | NAME Betelgeuse | PLX 1362 | PLX 1362.00 | PMC 90-93   162 | PPM 149643 | RAFGL  836 | SAO 113271 | SKY#  9804 | TD1  5587 | TIC 269273552 | TYC  129-1873-1 | UBV   21314 | V* alf Ori | WDS J05552+0724A | WDS J05552+0724Aa,Ab | WDS J05552+0724Aa,Ac | WEB  5485 | YZ   7  2503",88.79293899,7.407064,6.55,0.83,7.892,27.54,11.3,21.91,168.0,547.942715,11.446438,543.249707,70.639601,547.942715,88.79293899,82.592936,0.42,M1-M2Ia-Iab,giant_or_supergiant,Literature,uncertain_literature_distance,curated_famous | official_iau_name | simbad_named_star,175,Adopted literature distance 168 pc for Betelgeuse
Antares,Antares,* alf Sco,,80763,148478,,,*  21 Sco | * alf Sco | * alf Sco A | ** GNT    1A | 2MASS J16292443-2625549 | AAVSO 1623-26 | ADS 10074 A | CCDM J16294-2626A | CD-26 11359 | Ced 132 | CMC  184415 | CPD-26  5648 | CSI-26 11359 21 | CSI-26 11359 23 | DG 141 | Elia 2-74 | FK5  616 | GC 22157 | GCRV  9479 | GEN# +1.00148478 | GEN# +1.00148479 | GN 16.26.3 | GSC 06803-02158 | HD 148478 | HIC  80763 | HIP 80763 | HR  6134 | IDS 16233-2613 A | IRAS 16262-2619 | IRC -30265 | LBN  1108 | LBN 351.88+15.11 | N30 3686 | NAME Antares | PLX 3741 | PMC 90-93   439 | PPM 265579 | RAFGL 1863 | ROT  2345 | SAO 184415 | SKY# 29714 | SRS  30616 | TD1 19208 | TIC 175934060 | TYC 6803-2158-1 | UBV   21661 | UBV M  21449 | V* alf Sco | VDB 107 | WDS J16294-2626A | WEB 13658 | WISEA J162924.49-262554.8,247.35191542,-26.43200261,5.89,1.0,5.89,-12.11,-23.3,-3.5,170.0,554.465842,-191.188705,-458.217086,-246.81238,554.465842,247.35191542,116.43200261,0.91,M1.5Iab+B2Vn,red_dwarf,Literature,uncertain_literature_distance,curated_famous | official_iau_name | simbad_named_star,175,Adopted literature distance 170 pc for Antares
Pollux,Pollux,* bet Gem,,37826,62509,,,*  78 Gem | * bet Gem | ** BU  580A | 1RXS J074519.3+280123 | 2E  1872 | 2E 0742.2+2808 | 2MASS J07451891+2801340 | ADS  6335 A | AG+28  833 | ASCC  674757 | BD+28  1463 | CCDM J07454+2802A | Ci 20  437 | CNS5 1912 | CSI+28  1463  1 | CSV 100892 | CTI 074434.0+280331 | FK5  295 | GC 10438 | GCRV  5166 | GEN# +1.00062509 | GJ 286 | HD  62509 | HIC  37826 | HIP 37826 | HR  2990 | IDS 07392+2816 A | IRAS 07422+2808 | IRC +30194 | JP11  1588 | LFT  548 | LHS  1945 | LSPM J0745+2801 | LTT 12065 | N30 1758 | NAME Pollux | NLTT 18379 | NSV  3712 | PLX 1826 | PLX 1826.00 | PM 07423+2809 | PMC 90-93   216 | PPM  97924 | RAFGL 1183 | ROT  1249 | SAO  79666 | SKY# 14351 | SRS  30295 | SV* ZI   656 | TD1 10866 | TIC 423088367 | TYC 1920-2194-1 | UBV    7418 | UBV M  13566 | USNO-B1.0 1180-00191173 | uvby98 100062509 | WDS J07453+2802A | WEB  7472,116.32895777,28.02619889,96.54,0.27,357.556,-626.55,-45.8,3.391,10.358401,33.784584,-13.227117,26.72902,15.87454,33.784584,116.32895777,61.97380111,1.14,K0IIIb,giant_or_supergiant,SIMBAD,reliable_simbad_parallax,bright_v<4 | curated_famous | nearby_<=50ly | official_iau_name | simbad_named_star,175,
